lon	lat	depth
-124.634716	42.159623	-18.048613
-124.628671	42.159644	-18.098991
-124.622626	42.159663	-18.149375
-124.616580	42.159683	-18.199765
-124.610535	42.159702	-18.232337
-124.604489	42.159721	-18.266116
-124.598444	42.159739	-18.299902
-124.592399	42.159758	-18.324845
-124.586353	42.159775	-18.342364
-124.580308	42.159793	-18.381849
-124.574262	42.159810	-18.419797
-124.568217	42.159827	-18.453448
-124.562171	42.159844	-18.487100
-124.556126	42.159860	-18.550050
-124.550080	42.159876	-18.624595
-124.544035	42.159892	-18.699320
-124.537989	42.159907	-18.774047
-124.531944	42.159922	-18.879058
-124.525898	42.159937	-18.993195
-124.519853	42.159951	-19.107343
-124.513807	42.159965	-19.239998
-124.507762	42.159979	-19.381577
-124.501716	42.159992	-19.523174
-124.495671	42.160005	-19.671265
-124.489625	42.160018	-19.853855
-124.483580	42.160031	-19.988519
-124.477534	42.160043	-20.123198
-124.471488	42.160055	-20.284066
-124.465443	42.160066	-20.448316
-124.459397	42.160077	-20.568198
-124.453352	42.160088	-20.697816
-124.447306	42.160099	-20.833529
-124.441261	42.160109	-20.969283
-124.435215	42.160119	-21.078488
-124.429169	42.160129	-21.191837
-124.423124	42.160138	-21.305218
-124.417078	42.160147	-21.418535
-124.411033	42.160155	-21.514449
-124.404987	42.160164	-21.610382
-124.398941	42.160172	-21.706340
-124.392896	42.160179	-21.801456
-124.386850	42.160187	-21.891059
-124.380805	42.160194	-21.980698
-124.374759	42.160201	-22.069762
-124.368713	42.160207	-22.158348
-124.362668	42.160213	-22.252023
-124.719385	42.163803	-16.903366
-124.713340	42.163828	-16.997429
-124.707294	42.163852	-17.091094
-124.701248	42.163876	-17.184399
-124.695203	42.163899	-17.277714
-124.689157	42.163923	-17.366516
-124.683111	42.163946	-17.455172
-124.677065	42.163968	-17.543990
-124.671020	42.163991	-17.626682
-124.664974	42.164013	-17.706485
-124.658928	42.164034	-17.786307
-124.652882	42.164056	-17.862147
-124.646836	42.164077	-17.929557
-124.640791	42.164098	-17.996979
-124.634745	42.164118	-18.062441
